,thermoreg_reading,enzyme_activity_index,dual_lobe_signal,stress_variability,habitat_zone,activity_score,fasting_flag,health_outcome,thermoreg_reading_fahrenheit
0,52.6,97.0,3.6,-3.5,c2,2.0,0.0,1,34.742453717789886
1,41.8,105.0,3.4000000000000004,10.5,c1,2.0,0.0,0,
2,56.2,126.0,5.5,9.6,c2,5.0,0.0,0,38.75406076225811
3,57.7,106.0,-4.1000000000000005,-4.0,c1,4.0,0.0,1,40.46508244752093
4,34.5,73.0,2.3000000000000003,0.3,c4,5.0,1.0,1,
5,39.7,69.0,-1.2000000000000002,5.1000000000000005,c4,2.0,1.0,0,20.28038443823914
6,51.2,94.0,-1.7000000000000002,3.8,c2,3.0,1.0,1,33.150563628505566
7,47.6,113.0,0.4,-4.4,c5,3.0,1.0,1,
8,50.0,80.0,-2.6,,c3,,1.0,0,31.8487895824614
9,43.3,71.0,0.4,-2.0,c4,3.0,1.0,0,24.32260465183778
10,57.2,70.0,-2.5,-4.9,c4,2.0,1.0,1,39.914581773765455
11,56.400000000000006,128.0,3.5,0.8,c1,1.0,0.0,1,39.00012741886054
12,50.7,93.0,2.1,-0.2,c4,5.0,0.0,1,32.59427627805094
13,59.2,82.0,0.2,-0.6000000000000001,c1,5.0,1.0,1,
14,53.900000000000006,129.0,,-1.8,c5,4.0,0.0,1,
15,,86.0,3.1,7.2,c2,2.0,0.0,0,24.266367834050858
16,53.1,84.0,4.3,-1.3,c3,,0.0,0,35.31875705674249
17,42.5,110.0,3.9,5.9,c1,2.0,0.0,1,
18,57.2,102.0,5.5,-1.3,c1,5.0,1.0,1,
19,49.8,56.0,1.0,0.2,c1,2.0,1.0,1,31.550666801123725
20,48.7,122.0,1.8,4.4,c1,,1.0,0,30.336238728092656
21,,67.0,0.5,1.2000000000000002,c2,4.0,1.0,0,25.871634100364528
22,,197.0,3.5,0.1,c1,3.0,1.0,0,43.00287204806627
23,48.900000000000006,85.0,-2.2,-2.3000000000000003,c5,4.0,0.0,1,30.609234661380786
24,46.7,39.0,2.4000000000000004,7.5,c4,3.0,0.0,1,28.145049600532037
25,,141.0,4.9,0.2,c2,3.0,1.0,0,28.83079804560593
26,54.400000000000006,105.0,7.9,7.800000000000001,c4,5.0,,0,
27,53.1,111.0,4.6000000000000005,,c2,2.0,0.0,0,35.288996579276706
28,53.5,115.0,0.5,-2.8000000000000003,c5,1.0,1.0,1,35.7145935043639
